area_km2,district_id,name_ru,assignment_method,boundary_source_id,boundary_source_record_id,boundary_source_subtype,boundary_source_updated_at,boundary_synthetic,building_count,building_footprint_km2,bus_stop_count,clinic_count,coverage_note,crossing_count,data_quality,data_source,green_area_km2,green_share_pct,hospital_count,kindergarten_count,observation_bbox,observation_bbox_coverage_pct,park_area_km2,road_km_cycleway,road_km_footway,road_km_light_rail,road_km_living_street,road_km_main,road_km_motorway,road_km_path,road_km_pedestrian,road_km_primary,road_km_residential,road_km_secondary,road_km_service,road_km_steps,road_km_tertiary,road_km_total,road_km_track,road_km_trunk,road_km_unclassified,road_km_unknown,school_count,source_release,street_lamp_count,traffic_signals_count
194.5,esil,Есиль,within_centroid_or_line_point_on_surface,3a849ecf-96c1-4ac9-a957-36f883836726,r3479876@35,county,2026-06-23T13:29:44Z,False,12047,4.58,197,36,"Bbox покрывает часть района; числа объектов, площади зелени и длины дорог неполны.",1058,open_map_observations_not_official_statistics,Overture Maps / OpenStreetMap,19.56,10.1,33,32,"71.20,50.98,71.75,51.30",82.75,2.31,42.9,358.6,4.8,38.9,217.5,,14.2,0.8,15.7,162.4,86.6,409.2,1.6,65.5,1365.6,91.2,49.7,20.3,8.0,63,2026-08-19.0,73,259
93.4,almaty,Алматы,within_centroid_or_line_point_on_surface,6110c8b6-be5d-4028-baff-623caddf6585,r3482819@42,county,2026-07-16T16:25:10Z,False,12921,4.77,197,20,"Bbox покрывает часть района; числа объектов, площади зелени и длины дорог неполны.",460,open_map_observations_not_official_statistics,Overture Maps / OpenStreetMap,4.95,5.3,30,26,"71.20,50.98,71.75,51.30",95.12,1.16,15.9,140.0,,0.3,128.8,,3.1,,11.5,156.8,64.3,291.4,0.4,31.9,784.2,28.8,21.1,14.4,4.3,49,2026-08-19.0,,104
67.8,saryarka,Сарыарка,within_centroid_or_line_point_on_surface,64324e0b-0706-4ff3-88d0-7e4af753d9a9,r3486954@23,county,2026-06-05T08:03:26Z,False,23954,5.31,174,25,Граница района целиком внутри bbox; полнота объектов источником не гарантируется.,396,open_map_observations_not_official_statistics,Overture Maps / OpenStreetMap,4.21,6.2,27,30,"71.20,50.98,71.75,51.30",100.0,0.25,5.5,143.2,,0.1,126.8,,0.9,0.4,26.3,191.4,32.6,321.1,0.7,44.2,834.4,31.4,23.7,6.1,6.8,46,2026-08-19.0,19,114
183.5,baikonur,Байконур,within_centroid_or_line_point_on_surface,718684fa-c7e0-4383-8c2b-26883e4c2711,r8593081@14,county,2026-06-27T16:58:37Z,False,20987,6.34,100,17,"Bbox покрывает часть района; числа объектов, площади зелени и длины дорог неполны.",230,open_map_observations_not_official_statistics,Overture Maps / OpenStreetMap,2.48,1.4,9,14,"71.20,50.98,71.75,51.30",95.0,0.29,1.4,70.9,,,167.3,11.7,0.8,,28.9,136.5,57.4,338.7,0.3,24.8,849.5,89.5,44.5,40.7,3.4,22,2026-08-19.0,,102
188.5,nura,Нура,within_centroid_or_line_point_on_surface,8083aa2f-525b-4e48-aee3-1219d6efaa9f,r20593940@1,county,2026-06-23T13:29:44Z,False,13269,4.51,170,17,Граница района целиком внутри bbox; полнота объектов источником не гарантируется.,881,open_map_observations_not_official_statistics,Overture Maps / OpenStreetMap,14.06,7.5,30,22,"71.20,50.98,71.75,51.30",100.0,1.05,55.3,240.6,,,189.4,,2.6,,55.3,259.4,36.3,379.0,0.4,37.0,1231.2,79.9,60.8,20.8,3.8,50,2026-08-19.0,66,119
61.4,saraishyk,Сарайшык,within_centroid_or_line_point_on_surface,b367ecc9-9ec4-4cc0-a73c-b7e3cea38787,r19733918@12,locality,2026-07-16T16:25:10Z,False,10378,2.74,75,3,Граница района целиком внутри bbox; полнота объектов источником не гарантируется.,354,open_map_observations_not_official_statistics,Overture Maps / OpenStreetMap,9.02,14.7,5,8,"71.20,50.98,71.75,51.30",100.0,2.37,8.6,168.3,43.5,,123.1,,3.5,0.1,0.7,126.0,40.1,171.8,0.6,72.2,695.4,49.3,10.1,40.5,3.6,16,2026-08-19.0,32,78
